,across,within,Subject,R
0,0.4219650372207383,0.4921997207833908,CH067,[-44.44 -93.44  11.39]
1,0.25684967776565243,-0.034143696951129926,TJ010,[-54.55  -5.56  51.94]
2,0.16687650842046414,0.22988957907734295,CH058,[51.52 38.35 -3.74]
3,0.2735062383373448,0.1646681290430263,TJ021,[ 24.24 -42.62 -16.77]
4,0.20736431707951375,0.5753698802089215,FR280,[-27.27 -34.7   -9.16]
5,0.31115984159501386,0.2879408938234315,FR270,[-59.6   20.28   7.6 ]
6,0.07044456224647598,-0.06394556825541782,TJ010,[-54.55  43.09   5.54]
7,0.8397267088769879,0.8839817862481784,TJ022,[ 50.51 -23.94 -19.26]
8,0.1929556687918785,0.5183885141879738,CH046,[-42.42 -48.75  48.58]
9,0.24662451697752136,0.25391911477080503,BW001,[45.45 -1.8  16.23]
10,0.1935540376756,0.07248080565239562,FR029,[ 64.65 -10.35   0.54]
11,0.1014213265474999,0.7542064816635892,TJ013,[ 21.21  12.77 -32.64]
12,0.7061906383445647,0.8871552706835609,TJ004,[ 40.4   -2.26 -43.04]
13,0.6730011545609247,0.5139593055750401,CH008b,[ 20.2  -53.49  -4.28]
14,0.15224371752426505,0.30614358264660946,CH042,[ 52.53 -12.92 -11.47]
15,0.0312270751211396,0.4969916930330631,TJ025,[ 53.54 -49.32 -29.07]
16,0.4638196567942482,0.16417712445047505,TJ010,[ 67.68 -22.8  -21.58]
17,0.4847212138387776,0.17862854149053356,TJ021,[58.59  7.41 39.57]
18,0.4474074265039523,0.7041985479497357,FR220,[25.25 10.29 65.84]
19,0.14435290169183046,0.06015580509424665,TJ010,[-38.38 -10.45 -20.87]
20,0.27050832704425914,0.48712234806607796,FR037,[50.51 24.56  4.56]
21,0.5261023142133217,-0.18489212872299454,FR050,[-1.01 44.63 16.5 ]
22,0.3195598822347228,0.321771220108523,CH048,[  2.02 -56.58  39.46]
23,-0.019237635078408533,0.2626345976544433,FR025,[-53.54  16.58 -25.26]
24,0.16687702877276306,0.8192280079916258,TJ025,[ 58.59 -14.98 -35.43]
25,0.22205481321212694,0.016590111512327938,CH058,[ -1.01 -11.69  50.53]
26,0.15678138346633513,-0.1840143623846964,CH018,[17.17 71.45 -5.4 ]
27,0.3289878881956558,0.06754167331328903,CH040,[-21.21  13.59 -27.82]
28,0.20512620368799706,-0.06176754112739213,CH065,[ 18.18 -22.4   80.44]
29,0.16431890166774005,0.5367456466127801,TJ025,[17.17 71.51 -6.59]
30,0.7606019893368475,0.2700550138159217,CH005,[49.49 16.21 28.06]
31,0.05308155060033285,-0.0893747938654124,TJ010,[ -23.23 -104.71  -13.2 ]
32,0.3248991513100388,0.24393152419194186,FR050,[-26.26 -20.13 -35.73]
33,0.07597466426876416,0.3890444570431424,TJ028,[-64.65 -44.27 -26.4 ]
34,0.6506864348202623,0.3660085176701152,CH066,[-38.38 -10.87  54.93]
35,0.26906957384892194,0.05070459203370164,CH005,[ 16.16  -1.7  -32.28]
36,0.005604032752742853,0.09584754026055342,FR260,[-39.39 -30.47 -35.14]
37,0.1945843505991256,0.2860578309983037,TJ005,[ 10.1  -51.48  -2.72]
38,0.5650759135229358,0.16177097404696392,CH061,[ 20.2  -78.77  50.26]
39,0.15565208866966798,0.3811960297026417,CH008b,[  6.06  19.87 -29.84]
40,0.32257800753955146,0.3315449940441591,TJ030,[-22.22   0.41 -33.35]
41,0.08323748996826623,0.4277881333830877,BW001,[  2.02 -55.14   9.06]
42,0.2614365796778464,0.14519281626686162,TJ018,[ 53.54 -11.58 -42.39]
43,0.5013360367017216,0.17899140501502653,CH008b,[ 24.24 -48.8  -17.12]
44,0.5300459339986341,0.07635765745317989,TJ018,[-79.8  -39.33   2.28]
45,0.3377949044520819,-0.15873879999858825,BW001,[31.31 24.09 36.1 ]
46,0.22938832299469716,0.3318087176398541,TJ001,[  0.   -67.95  18.18]
47,0.2903185379357697,0.5199032502489209,TJ005,[ 47.47 -44.27 -26.4 ]
48,0.24031330858145905,0.4775250438159443,TJ030,[ 23.23 -53.9  -18.61]
49,0.2327799881859109,0.09400120584510023,BW001,[46.46 -4.33 25.89]
50,-0.0241129411840381,-0.14022705981433786,TJ010,[-39.39 -91.43 -10.05]
51,0.2543888308181211,0.21910324106864704,FR029,[ 64.65 -27.49  35.55]
52,0.29008447214490185,0.6725494790256755,CH061,[ 66.67 -46.43  -0.27]
53,0.2086188112029892,0.16922664995909467,CH013,[-24.24   0.97  66.44]
54,0.011786498636318829,0.15896969453733736,FR029,[32.32 20.07 55.47]
55,0.7457049606575875,0.19806084063592053,CH003,[-18.18 -11.99 -32.87]
56,0.8328608835325959,0.2606842276723525,CH013,[-2.02 48.96 34.14]
57,0.6347639862991983,0.2093864557662993,CH003,[ 33.33  23.68 -22.47]
58,0.5748310410098441,0.16379648071753894,CH040,[-28.28 -28.98 -21.94]
59,-0.0020169374484341773,0.8672475558518001,TJ004,[ 70.71 -22.75 -22.77]
60,0.3377238986110286,0.6744451187343187,CH065,[ 26.26  51.53 -22.05]
61,0.2468908903345935,0.2475744856362521,FR260,[-62.63   7.05   3.64]
62,0.7275750891545659,0.5802577417543621,UP004,[-38.38  -1.03 -23.9 ]
63,0.2696311572429953,0.2787514559112425,FR050,[-45.45   6.79  52.6 ]
64,0.2812702836880687,0.7754138783048746,FR210,[ 56.57 -19.92 -16.65]
65,0.4791454186842721,0.07288574128569718,CH058,[  2.02 -21.52  40.22]
66,0.14081979433553524,0.3754887588685787,TJ022,[-40.4   42.52  39.25]
67,0.3085003152493941,0.16129496519863246,CH048,[  3.03 -66.82  37.83]
68,0.25931323581097754,0.4006669275588621,FR029,[ 55.56 -39.64  52.32]
69,0.8315257236827668,0.2081017189091728,CH013,[-10.1   41.44  62.04]
70,0.3585184271928399,0.04346486866036476,CH005,[ 48.48  12.72 -31.45]
71,0.6752230830673152,0.8249519894279663,TJ032,[ 61.62 -13.33 -25.8 ]
72,-0.05318803188345928,0.5922247922909709,CH042,[ 54.55 -61.11   4.39]
73,0.2710461125936357,0.5312663191623039,TJ028,[ 65.66 -21.21 -34.6 ]
74,0.9158280123235016,0.0016502346507200395,TJ027,[56.57 15.18 28.01]
75,0.1835658401682176,0.030714410125316286,TJ018,[ 67.68 -19.35 -29.72]
76,0.9662842061954924,-0.014677854344780555,TJ027,[ 34.34 -83.81 -19.15]
77,0.7761617575392519,0.23404245999179005,CH066,[-20.2   38.5   36.86]
78,0.360560721761511,0.2831366337820458,FR260,[-28.28 -44.38  -0.17]
79,0.2775404522820968,0.2779833638137659,CH018,[ 55.56  12.2  -19.56]
80,0.31854370219339834,0.3762122054898589,CH068,[-44.44   6.9    6.89]
81,0.14275992462405407,0.0125985130100502,TJ010,[ 36.36 -16.58 -22.41]
82,0.0044826345398720786,0.13112230717379214,FR025,[ 51.52 -19.05 -36.86]
83,0.11173253983171533,0.0329697096002129,TJ018,[ 39.39 -91.89   0.59]
84,0.8232511945946542,0.10825822564350276,CH066,[-11.11  23.27  53.46]
85,0.31406879602152843,0.2814623171036912,CH058,[-14.14  46.33  24.21]
86,-0.06726507009915803,0.3473281541068566,TJ034,[-46.46  -9.32 -47.02]
87,0.25865592051733,0.5926147384112789,TJ013,[ 59.6  -46.02  -9.81]
88,0.015410166264767463,0.08695967872572005,TJ015,[-55.56  25.79  22.04]
89,0.7401208716251658,0.1878656901263216,CH013,[-4.04 56.42 29.1 ]
90,0.16417133891901958,0.1446065297337037,TJ018,[-45.45  55.29   9.45]
91,0.15910240355133548,0.04895489698385822,FR050,[-36.36  44.84 -10.52]
92,0.8570617513079734,0.5202861833734033,CH008b,[ 26.26 -31.05  66.92]
93,0.13670355598916806,0.4265506575652673,BW001,[ 40.4   18.43 -20.39]
94,0.10776799642886302,0.15226842484048375,TJ015,[-7.07 27.9  64.59]
95,0.15927422981367073,0.2241002136953618,TJ015,[-66.67 -28.93  22.41]
96,0.7126780438871037,0.3958963130493256,FR037,[ 35.35 -25.13  72.68]
97,0.1607952119486499,0.15987936839083627,CH067,[-50.51 -87.26  11.72]
98,0.1868900318591284,0.26832570085669744,UP004,[ 64.65 -38.05  40.43]
99,0.2324665974711063,0.6691777671913681,TJ005,[-52.53 -22.08 -14.39]
100,0.20251838437347736,0.11402405206584665,TJ021,[ 20.2   43.35 -23.72]
101,0.7376776136980674,0.5585216706372403,CH003,[-25.25  18.43 -44.23]
102,0.1503056158656082,0.26894902096624224,FR260,[-58.59   8.29 -24.55]
103,0.014369864740348957,0.33855509277708457,TJ021,[ 69.7  -36.96  -4.52]
104,0.5079501759023419,0.4362852899499497,FR050,[-66.67 -24.56  38.97]
105,0.247038284446584,0.4517423465591501,TJ013,[ 46.46  -7.26 -46.9 ]
106,0.8715538773390842,0.5156813421284744,CH008b,[34.34 26.2  -9.21]
107,0.2399760938278843,0.22367800699632068,CH058,[53.54 17.55 21.6 ]
108,0.4053096431136911,0.3659875763505065,FR050,[-40.4  -43.25  63.01]
109,0.6332305931583271,0.2011370957538099,CH013,[-53.54  11.38  21.28]
110,0.10602102122463884,0.8130106302876134,FR290,[ 27.27   1.34 -30.91]
111,0.30243394753803865,0.6164516196445294,FR220,[26.26 37.83 50.97]
112,0.002735864997177808,0.0744168464081324,CH042,[ 10.1   19.56 -22.71]
